rank,input_value,supplied_capital,shares_received,borrowed_capital,debt_shares_minted,repaid_capital,debt_shares_burned,withdrawn_capital,phantom_debt_shares,phantom_debt_value,final_output,delta,reason
1,2,2,1,1,1,1,0,1,1,2,-1,-3,delta_nonzero;phantom_debt_shares;phantom_debt_value;final_output_less_than_input
2,3,3,2,1,1,1,0,2,1,2,0,-3,delta_nonzero;phantom_debt_shares;phantom_debt_value;final_output_less_than_input
3,4,4,3,2,2,2,1,3,1,2,1,-3,delta_nonzero;phantom_debt_shares;phantom_debt_value;final_output_less_than_input
4,5,5,4,2,2,2,1,4,1,2,2,-3,delta_nonzero;phantom_debt_shares;phantom_debt_value;final_output_less_than_input
5,6,6,5,3,3,3,2,5,1,2,3,-3,delta_nonzero;phantom_debt_shares;phantom_debt_value;final_output_less_than_input
6,7,7,6,3,3,3,2,6,1,2,4,-3,delta_nonzero;phantom_debt_shares;phantom_debt_value;final_output_less_than_input
7,8,8,7,4,4,4,3,7,1,2,5,-3,delta_nonzero;phantom_debt_shares;phantom_debt_value;final_output_less_than_input
8,9,9,8,4,4,4,3,8,1,2,6,-3,delta_nonzero;phantom_debt_shares;phantom_debt_value;final_output_less_than_input
9,10,10,9,5,5,5,4,9,1,2,7,-3,delta_nonzero;phantom_debt_shares;phantom_debt_value;final_output_less_than_input
10,11,11,10,5,5,5,4,10,1,2,8,-3,delta_nonzero;phantom_debt_shares;phantom_debt_value;final_output_less_than_input
11,12,12,11,6,6,6,5,11,1,2,9,-3,delta_nonzero;phantom_debt_shares;phantom_debt_value;final_output_less_than_input
12,13,13,12,6,6,6,5,12,1,2,10,-3,delta_nonzero;phantom_debt_shares;phantom_debt_value;final_output_less_than_input
13,14,14,13,7,7,7,6,13,1,2,11,-3,delta_nonzero;phantom_debt_shares;phantom_debt_value;final_output_less_than_input
14,15,15,14,7,7,7,6,14,1,2,12,-3,delta_nonzero;phantom_debt_shares;phantom_debt_value;final_output_less_than_input
15,16,16,15,8,8,8,7,15,1,2,13,-3,delta_nonzero;phantom_debt_shares;phantom_debt_value;final_output_less_than_input
16,17,17,16,8,8,8,7,16,1,2,14,-3,delta_nonzero;phantom_debt_shares;phantom_debt_value;final_output_less_than_input
17,18,18,17,9,9,9,8,17,1,2,15,-3,delta_nonzero;phantom_debt_shares;phantom_debt_value;final_output_less_than_input
18,19,19,18,9,9,9,8,18,1,2,16,-3,delta_nonzero;phantom_debt_shares;phantom_debt_value;final_output_less_than_input
19,20,20,19,10,10,10,9,19,1,2,17,-3,delta_nonzero;phantom_debt_shares;phantom_debt_value;final_output_less_than_input
20,21,21,20,10,10,10,9,20,1,2,18,-3,delta_nonzero;phantom_debt_shares;phantom_debt_value;final_output_less_than_input
21,22,22,21,11,11,11,10,21,1,2,19,-3,delta_nonzero;phantom_debt_shares;phantom_debt_value;final_output_less_than_input
22,23,23,22,11,11,11,10,22,1,2,20,-3,delta_nonzero;phantom_debt_shares;phantom_debt_value;final_output_less_than_input
23,24,24,23,12,12,12,11,23,1,2,21,-3,delta_nonzero;phantom_debt_shares;phantom_debt_value;final_output_less_than_input
24,25,25,24,12,12,12,11,24,1,2,22,-3,delta_nonzero;phantom_debt_shares;phantom_debt_value;final_output_less_than_input
25,26,26,25,13,13,13,12,25,1,2,23,-3,delta_nonzero;phantom_debt_shares;phantom_debt_value;final_output_less_than_input
