rank,input_value,repeat_cycles,supplied_capital,shares_received,borrowed_capital,debt_shares_minted,repaid_capital,debt_shares_burned,withdrawn_capital,phantom_debt_shares,phantom_debt_value,final_output,delta,accumulated_delta,accumulated_phantom_debt_shares,accumulated_phantom_debt_value,reason
1,2,25,2,1,1,1,1,0,1,1,2,-1,-3,-75,25,50,minimal_delta_nonzero;minimal_phantom_debt_shares;minimal_phantom_debt_value;minimal_final_output_less_than_input
2,3,25,3,2,1,1,1,0,2,1,2,0,-3,-75,25,50,minimal_delta_nonzero;minimal_phantom_debt_shares;minimal_phantom_debt_value;minimal_final_output_less_than_input
3,4,25,4,3,2,2,2,1,3,1,2,1,-3,-75,25,50,minimal_delta_nonzero;minimal_phantom_debt_shares;minimal_phantom_debt_value;minimal_final_output_less_than_input
4,5,25,5,4,2,2,2,1,4,1,2,2,-3,-75,25,50,minimal_delta_nonzero;minimal_phantom_debt_shares;minimal_phantom_debt_value;minimal_final_output_less_than_input
5,6,25,6,5,3,3,3,2,5,1,2,3,-3,-75,25,50,minimal_delta_nonzero;minimal_phantom_debt_shares;minimal_phantom_debt_value;minimal_final_output_less_than_input
6,2,24,2,1,1,1,1,0,1,1,2,-1,-3,-72,24,48,minimal_delta_nonzero;minimal_phantom_debt_shares;minimal_phantom_debt_value;minimal_final_output_less_than_input
7,7,25,7,6,3,3,3,2,6,1,2,4,-3,-75,25,50,minimal_delta_nonzero;minimal_phantom_debt_shares;minimal_phantom_debt_value;minimal_final_output_less_than_input
8,3,24,3,2,1,1,1,0,2,1,2,0,-3,-72,24,48,minimal_delta_nonzero;minimal_phantom_debt_shares;minimal_phantom_debt_value;minimal_final_output_less_than_input
9,8,25,8,7,4,4,4,3,7,1,2,5,-3,-75,25,50,minimal_delta_nonzero;minimal_phantom_debt_shares;minimal_phantom_debt_value;minimal_final_output_less_than_input
10,4,24,4,3,2,2,2,1,3,1,2,1,-3,-72,24,48,minimal_delta_nonzero;minimal_phantom_debt_shares;minimal_phantom_debt_value;minimal_final_output_less_than_input
11,9,25,9,8,4,4,4,3,8,1,2,6,-3,-75,25,50,minimal_delta_nonzero;minimal_phantom_debt_shares;minimal_phantom_debt_value;minimal_final_output_less_than_input
12,5,24,5,4,2,2,2,1,4,1,2,2,-3,-72,24,48,minimal_delta_nonzero;minimal_phantom_debt_shares;minimal_phantom_debt_value;minimal_final_output_less_than_input
13,10,25,10,9,5,5,5,4,9,1,2,7,-3,-75,25,50,minimal_delta_nonzero;minimal_phantom_debt_shares;minimal_phantom_debt_value;minimal_final_output_less_than_input
14,6,24,6,5,3,3,3,2,5,1,2,3,-3,-72,24,48,minimal_delta_nonzero;minimal_phantom_debt_shares;minimal_phantom_debt_value;minimal_final_output_less_than_input
15,11,25,11,10,5,5,5,4,10,1,2,8,-3,-75,25,50,minimal_delta_nonzero;minimal_phantom_debt_shares;minimal_phantom_debt_value;minimal_final_output_less_than_input
16,2,23,2,1,1,1,1,0,1,1,2,-1,-3,-69,23,46,minimal_delta_nonzero;minimal_phantom_debt_shares;minimal_phantom_debt_value;minimal_final_output_less_than_input
17,7,24,7,6,3,3,3,2,6,1,2,4,-3,-72,24,48,minimal_delta_nonzero;minimal_phantom_debt_shares;minimal_phantom_debt_value;minimal_final_output_less_than_input
18,12,25,12,11,6,6,6,5,11,1,2,9,-3,-75,25,50,minimal_delta_nonzero;minimal_phantom_debt_shares;minimal_phantom_debt_value;minimal_final_output_less_than_input
19,3,23,3,2,1,1,1,0,2,1,2,0,-3,-69,23,46,minimal_delta_nonzero;minimal_phantom_debt_shares;minimal_phantom_debt_value;minimal_final_output_less_than_input
20,8,24,8,7,4,4,4,3,7,1,2,5,-3,-72,24,48,minimal_delta_nonzero;minimal_phantom_debt_shares;minimal_phantom_debt_value;minimal_final_output_less_than_input
21,13,25,13,12,6,6,6,5,12,1,2,10,-3,-75,25,50,minimal_delta_nonzero;minimal_phantom_debt_shares;minimal_phantom_debt_value;minimal_final_output_less_than_input
22,4,23,4,3,2,2,2,1,3,1,2,1,-3,-69,23,46,minimal_delta_nonzero;minimal_phantom_debt_shares;minimal_phantom_debt_value;minimal_final_output_less_than_input
23,9,24,9,8,4,4,4,3,8,1,2,6,-3,-72,24,48,minimal_delta_nonzero;minimal_phantom_debt_shares;minimal_phantom_debt_value;minimal_final_output_less_than_input
24,14,25,14,13,7,7,7,6,13,1,2,11,-3,-75,25,50,minimal_delta_nonzero;minimal_phantom_debt_shares;minimal_phantom_debt_value;minimal_final_output_less_than_input
25,5,23,5,4,2,2,2,1,4,1,2,2,-3,-69,23,46,minimal_delta_nonzero;minimal_phantom_debt_shares;minimal_phantom_debt_value;minimal_final_output_less_than_input
