rank,rank_score,input_value,borrow_ratio,repay_ratio,liquidity_offset,borrow_offset,supplied_capital,shares_received,borrowed_capital,debt_shares_minted,repaid_capital,debt_shares_burned,withdrawn_capital,phantom_debt_shares,phantom_debt_value,final_output,delta,loss_ratio_ppm,signature,reason
1,295010106,100000000,99/100,1/100,191,174,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
2,295010106,100000000,99/100,1/100,411,372,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
3,295010106,100000000,99/100,1/100,242,374,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
4,295010106,100000000,99/100,1/100,73,183,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
5,295010106,100000000,99/100,1/100,391,381,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
6,295010106,100000000,99/100,1/100,223,190,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
7,295010106,100000000,99/100,1/100,57,192,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
8,295010106,100000000,99/100,1/100,282,390,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
9,295010106,100000000,99/100,1/100,223,199,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
10,295010106,100000000,99/100,1/100,478,397,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
11,295010106,100000000,99/100,1/100,364,206,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
12,295010106,100000000,99/100,1/100,326,208,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
13,295010106,100000000,99/100,1/100,801,406,100000000,99999999,99000000,99000000,990000,989999,99999999,98010001,98010002,1989997,-98010003,980100,borrow=99/100|repay=1/100|delta_bucket=98010|phantom_bucket=98010|loss_bucket=98|debt_residue=yes,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt;loss_ratio_over_10_percent;loss_ratio_over_50_percent
