rank,rank_score,input_value,borrow_ratio,repay_ratio,chain_window,reentry_window,liquidity_drift_step,borrow_drift_step,reset_mode,total_supplied,total_borrowed,total_repaid,total_withdrawn,residual_debt_shares,residual_debt_value,net_external_position,protocol_shortfall_model,extraction_ratio_ppm,survived,collapsed,neutralized,reason
1,99001000003,1000000,1/2,1/100,1000,100,1,1,withdraw_normalization,100000000000,50000000000,500000000,50499700000,49500100000,49500200000,-300000,49500500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
2,99001000003,1000000,1/2,1/100,1000,100,31,67,withdraw_normalization,100000000000,50000000000,500000000,50499700000,49500100000,49500200000,-300000,49500500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
3,99001000003,1000000,1/2,1/100,1000,100,123,456,withdraw_normalization,100000000000,50000000000,500000000,50499700000,49500100000,49500200000,-300000,49500500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
4,99001000003,1000000,1/2,1/100,1000,100,8191,8191,withdraw_normalization,100000000000,50000000000,500000000,50499700000,49500100000,49500200000,-300000,49500500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
5,99000894999,1000000,1/2,1/100,1000,100,1,1,none,100000000000,50000000000,500000000,99999900000,49500100000,49500200000,49499900000,300000,494999,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
6,99000894999,1000000,1/2,1/100,1000,100,31,67,none,100000000000,50000000000,500000000,99999900000,49500100000,49500200000,49499900000,300000,494999,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
7,99000894999,1000000,1/2,1/100,1000,100,123,456,none,100000000000,50000000000,500000000,99999900000,49500100000,49500200000,49499900000,300000,494999,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
8,99000894999,1000000,1/2,1/100,1000,100,8191,8191,none,100000000000,50000000000,500000000,99999900000,49500100000,49500200000,49499900000,300000,494999,True,False,False,SURVIVED_NET_EXTERNAL_POSITIVE;SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
9,99000600001,1000000,1/2,1/100,1000,100,1,1,repay_normalization,100000000000,50000000000,50000000000,99999900000,49500100000,49500200000,-100000,49500300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
10,99000600001,1000000,1/2,1/100,1000,100,31,67,repay_normalization,100000000000,50000000000,50000000000,99999900000,49500100000,49500200000,-100000,49500300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
11,99000600001,1000000,1/2,1/100,1000,100,123,456,repay_normalization,100000000000,50000000000,50000000000,99999900000,49500100000,49500200000,-100000,49500300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
12,99000600001,1000000,1/2,1/100,1000,100,8191,8191,repay_normalization,100000000000,50000000000,50000000000,99999900000,49500100000,49500200000,-100000,49500300000,1,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
13,95001000003,1000000,1/2,1/20,1000,100,1,1,withdraw_normalization,100000000000,50000000000,2500000000,52499700000,47500100000,47500200000,-300000,47500500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
14,95001000003,1000000,1/2,1/20,1000,100,31,67,withdraw_normalization,100000000000,50000000000,2500000000,52499700000,47500100000,47500200000,-300000,47500500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
15,95001000003,1000000,1/2,1/20,1000,100,123,456,withdraw_normalization,100000000000,50000000000,2500000000,52499700000,47500100000,47500200000,-300000,47500500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
16,95001000003,1000000,1/2,1/20,1000,100,8191,8191,withdraw_normalization,100000000000,50000000000,2500000000,52499700000,47500100000,47500200000,-300000,47500500000,3,True,False,False,SURVIVED_RESIDUAL_DEBT;SURVIVED_SHORTFALL_MODEL
