rank,rank_score,input_value,borrow_ratio,repay_ratio,chain_window,reentry_window,liquidity_drift_step,borrow_drift_step,constraint_mode,total_supplied,total_borrowed,total_repaid,total_withdrawn,total_rejected_borrows,total_rejected_withdraws,residual_debt_shares,residual_debt_value,net_external_position,protocol_shortfall_model,extraction_ratio_ppm,survived_constraints,extraction_candidate,shortfall_candidate,rejected_by_constraints,reason
1,200000900000,1000000,2/3,1/4,1000,100,1,1,full_protocol_guard,100000000000,66666600000,16666600000,0,0,100000,50000100000,50000200000,-50000000000,100000200000,500000,True,False,True,True,WITHDRAW_REJECTED_BY_CONSTRAINTS;RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE;EXTERNAL_VALUE_OVER_50_PERCENT
2,200000900000,1000000,2/3,1/4,1000,100,31,67,full_protocol_guard,100000000000,66666600000,16666600000,0,0,100000,50000100000,50000200000,-50000000000,100000200000,500000,True,False,True,True,WITHDRAW_REJECTED_BY_CONSTRAINTS;RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE;EXTERNAL_VALUE_OVER_50_PERCENT
3,200000900000,1000000,2/3,1/4,1000,100,123,456,full_protocol_guard,100000000000,66666600000,16666600000,0,0,100000,50000100000,50000200000,-50000000000,100000200000,500000,True,False,True,True,WITHDRAW_REJECTED_BY_CONSTRAINTS;RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE;EXTERNAL_VALUE_OVER_50_PERCENT
4,200000900000,1000000,2/3,1/4,1000,100,8191,8191,full_protocol_guard,100000000000,66666600000,16666600000,0,0,100000,50000100000,50000200000,-50000000000,100000200000,500000,True,False,True,True,WITHDRAW_REJECTED_BY_CONSTRAINTS;RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE;EXTERNAL_VALUE_OVER_50_PERCENT
5,200000837500,1000000,3/4,1/4,1000,100,1,1,full_protocol_guard,100000000000,75000000000,18750000000,0,0,100000,56250100000,56250200000,-43750000000,100000200000,437500,True,False,True,True,WITHDRAW_REJECTED_BY_CONSTRAINTS;RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
6,200000837500,1000000,3/4,1/4,1000,100,31,67,full_protocol_guard,100000000000,75000000000,18750000000,0,0,100000,56250100000,56250200000,-43750000000,100000200000,437500,True,False,True,True,WITHDRAW_REJECTED_BY_CONSTRAINTS;RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
7,200000837500,1000000,3/4,1/4,1000,100,123,456,full_protocol_guard,100000000000,75000000000,18750000000,0,0,100000,56250100000,56250200000,-43750000000,100000200000,437500,True,False,True,True,WITHDRAW_REJECTED_BY_CONSTRAINTS;RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
8,200000837500,1000000,3/4,1/4,1000,100,8191,8191,full_protocol_guard,100000000000,75000000000,18750000000,0,0,100000,56250100000,56250200000,-43750000000,100000200000,437500,True,False,True,True,WITHDRAW_REJECTED_BY_CONSTRAINTS;RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
9,200000800000,1000000,2/3,1/10,1000,100,1,1,full_protocol_guard,100000000000,66666600000,6666600000,0,0,100000,60000100000,60000200000,-40000000000,100000200000,400000,True,False,True,True,WITHDRAW_REJECTED_BY_CONSTRAINTS;RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
10,200000800000,1000000,2/3,1/10,1000,100,31,67,full_protocol_guard,100000000000,66666600000,6666600000,0,0,100000,60000100000,60000200000,-40000000000,100000200000,400000,True,False,True,True,WITHDRAW_REJECTED_BY_CONSTRAINTS;RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
