rank,rank_score,simplicity_score,input_value,borrow_ratio,repay_ratio,chain_window,reentry_window,liquidity_drift_step,borrow_drift_step,constraint_mode,total_supplied,total_borrowed,total_repaid,total_withdrawn,total_rejected_borrows,total_rejected_withdraws,residual_debt_shares,residual_debt_value,net_external_position,protocol_shortfall_model,extraction_ratio_ppm,survived_constraints,extraction_candidate,shortfall_candidate,rejected_by_constraints,minimal_repro_candidate,reason
1,969098,11102,100,99/100,1/100,1,1,1,1,loose,100,99,0,99,0,0,99,100,98,2,980000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
2,969002,11198,100,99/100,1/100,1,1,31,67,loose,100,99,0,99,0,0,99,100,98,2,980000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
3,968521,11679,100,99/100,1/100,1,1,123,456,loose,100,99,0,99,0,0,99,100,98,2,980000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
4,952718,27482,100,99/100,1/100,1,1,8191,8191,loose,100,99,0,99,0,0,99,100,98,2,980000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
5,929092,11102,100,99/100,1/20,1,1,1,1,loose,100,99,4,99,0,0,96,97,94,3,940000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
6,929090,11102,100,19/20,1/100,1,1,1,1,loose,100,95,0,99,0,0,95,96,94,2,940000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
7,928996,11198,100,99/100,1/20,1,1,31,67,loose,100,99,4,99,0,0,96,97,94,3,940000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
8,928994,11198,100,19/20,1/100,1,1,31,67,loose,100,95,0,99,0,0,95,96,94,2,940000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
9,928515,11679,100,99/100,1/20,1,1,123,456,loose,100,99,4,99,0,0,96,97,94,3,940000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
10,928513,11679,100,19/20,1/100,1,1,123,456,loose,100,95,0,99,0,0,95,96,94,2,940000,True,True,True,False,True,RESIDUAL_DEBT_SURVIVED;SHORTFALL_MODEL_POSITIVE;NET_EXTERNAL_VALUE_POSITIVE;VALUE_RATIO_OVER_10_PERCENT;VALUE_RATIO_OVER_50_PERCENT;MINIMAL_REPRO_CANDIDATE
