rank,rank_score,flow_type,input_value,borrow_ratio,repay_ratio,chain_window,reentry_window,liquidity_drift_step,borrow_drift_step,constraint_mode,total_supplied,total_borrowed,total_repaid,total_withdrawn,total_rejected_borrows,total_rejected_withdraws,residual_debt_shares,residual_debt_value,net_external_position,protocol_shortfall_model,value_ratio_ppm,healthy_pass,pathological_signal,false_positive_risk,reason
1,5000501000,pathological_control,10000000,2/3,1/4,25,10,1,1,full_protocol_guard,2500000000,1666666500,416666500,0,0,250,1250000250,1250000500,-1250000000,2500000500,500000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT;PATHOLOGICAL_VALUE_RATIO_OVER_50_PERCENT
2,5000501000,pathological_control,10000000,2/3,1/4,25,10,31,67,full_protocol_guard,2500000000,1666666500,416666500,0,0,250,1250000250,1250000500,-1250000000,2500000500,500000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT;PATHOLOGICAL_VALUE_RATIO_OVER_50_PERCENT
3,5000501000,pathological_control,10000000,2/3,1/4,25,10,123,456,full_protocol_guard,2500000000,1666666500,416666500,0,0,250,1250000250,1250000500,-1250000000,2500000500,500000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT;PATHOLOGICAL_VALUE_RATIO_OVER_50_PERCENT
4,5000501000,pathological_control,10000000,2/3,1/4,25,10,8191,8191,full_protocol_guard,2500000000,1666666500,416666500,0,0,250,1250000250,1250000500,-1250000000,2500000500,500000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT;PATHOLOGICAL_VALUE_RATIO_OVER_50_PERCENT
5,5000438500,pathological_control,10000000,3/4,1/4,25,10,1,1,full_protocol_guard,2500000000,1875000000,468750000,0,0,250,1406250250,1406250500,-1093750000,2500000500,437500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
6,5000438500,pathological_control,10000000,3/4,1/4,25,10,31,67,full_protocol_guard,2500000000,1875000000,468750000,0,0,250,1406250250,1406250500,-1093750000,2500000500,437500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
7,5000438500,pathological_control,10000000,3/4,1/4,25,10,123,456,full_protocol_guard,2500000000,1875000000,468750000,0,0,250,1406250250,1406250500,-1093750000,2500000500,437500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
8,5000438500,pathological_control,10000000,3/4,1/4,25,10,8191,8191,full_protocol_guard,2500000000,1875000000,468750000,0,0,250,1406250250,1406250500,-1093750000,2500000500,437500,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
9,5000401000,pathological_control,10000000,2/3,1/10,25,10,1,1,full_protocol_guard,2500000000,1666666500,166666500,0,0,250,1500000250,1500000500,-1000000000,2500000500,400000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
10,5000401000,pathological_control,10000000,2/3,1/10,25,10,31,67,full_protocol_guard,2500000000,1666666500,166666500,0,0,250,1500000250,1500000500,-1000000000,2500000500,400000,False,True,False,PATHOLOGICAL_RESIDUAL_DEBT_PRESENT;PATHOLOGICAL_SHORTFALL_POSITIVE;PATHOLOGICAL_VALUE_RATIO_OVER_10_PERCENT
